parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,,Project
ANA_tox,RA1 ,,,1,088,,2024-05-15,12:43:00 PM,0,0.50,,ug/L,0.145,,,Marceline_South,Marceline (South) 1,Below detection limit,,SLAP
ANA_tox,RA1 ,,,1,088,,2024-05-15,12:43:00 PM,0,0.50,,ug/L,0.194,,,Marceline_South,Marceline (South) 1,,,SLAP
ANA_tox,RA2 ,,,2,438,,2024-05-17,10:15:00 AM,0,0.50,,ug/L,0.154,,,Bethel,Bethel 1,,,SLAP
ANA_tox,RA2 ,,,2,438,,2024-05-17,10:15:00 AM,0,0.50,,ug/L,0.154,,,Bethel,Bethel 1,,,SLAP
ANA_tox,RA3 ,,,3,139,,2024-05-15,12:20:00 PM,0,0.50,,ug/L,0.146,,,Marceline_North,Marceline (North) 1,Below detection limit,,SLAP
ANA_tox,RA3 ,,,3,139,,2024-05-15,12:20:00 PM,0,0.50,,ug/L,0.147,,,Marceline_North,Marceline (North) 1,Below detection limit,,SLAP
ANA_tox,RA4 ,,,4,228,,2024-05-20,12:15:00 PM,0,0.50,,ug/L,0.228,,,Jamesport_Community,Jamesport Community 1,,,SLAP
ANA_tox,RA4 ,,,4,228,,2024-05-20,12:15:00 PM,0,0.50,,ug/L,0.243,,,Jamesport_Community,Jamesport Community 1,,,SLAP
ANA_tox,RA5 ,,,5,163,,2024-05-20,1:58:00 PM,0,0.50,,ug/L,0.117,,,King,King 1,Below detection limit,,SLAP
ANA_tox,RA5 ,,,5,163,,2024-05-20,1:58:00 PM,0,0.50,,ug/L,0.173,,,King,King 1,,,SLAP
ANA_tox,RA6 ,,,6,195,,2024-05-20,2:56:00 PM,0,0.50,,ug/L,0.168,,,Limpp,Limpp 1,,,SLAP
ANA_tox,RA6 ,,,6,195,,2024-05-20,2:56:00 PM,0,0.50,,ug/L,0.147,,,Limpp,Limpp 1,Below detection limit,,SLAP
ANA_tox,RA7 ,,,7,224,,2024-05-20,3:57:00 PM,0,0.50,,ug/L,0.185,,,Happy_Holler,Happy Holler 1,,,SLAP
ANA_tox,RA7 ,,,7,224,,2024-05-20,3:57:00 PM,0,0.50,,ug/L,0.176,,,Happy_Holler,Happy Holler 1,,,SLAP
ANA_tox,RA8 ,,,8,180,,2024-05-20,5:50:00 PM,0,0.50,,ug/L,0.211,,,Bilby_Ranch,Bilby Ranch 1,,,SLAP
ANA_tox,RA8 ,,,8,180,,2024-05-20,5:50:00 PM,0,0.50,,ug/L,0.215,,,Bilby_Ranch,Bilby Ranch 1,,,SLAP
ANA_tox,RA9 ,,,9,179,,2024-05-21,6:55:00 AM,0,0.50,,ug/L,0.207,,,Nodaway_County,Nodaway County 1,,,SLAP
ANA_tox,RA9 ,,,9,179,,2024-05-21,6:55:00 AM,0,0.50,,ug/L,0.162,,,Nodaway_County,Nodaway County 1,,,SLAP
ANA_tox,RA10 ,,,10,181,,2024-05-21,8:36:00 AM,0,0.50,,ug/L,0.221,,,Mozingo,Mozingo 1,,,SLAP
ANA_tox,RA10 ,,,10,181,,2024-05-21,8:36:00 AM,0,0.50,,ug/L,0.216,,,Mozingo,Mozingo 1,,,SLAP
