parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc
CHL_A_COR,CHL3-24 ,,,3-24,139,EPI,2024-05-15,12:20:00 PM,0,0.50,,ug/L,128.34,,,Marceline_North,Marceline (North) 1,
CHL_A_COR,CHL4-24 ,,,4-24,139,EPI,2024-05-15,12:20:00 PM,0,0.50,,ug/L,137.15,,,Marceline_North,Marceline (North) 1,
CHL_A_COR,CHL9-24 ,,,9-24,088,EPI,2024-05-15,12:43:00 PM,0,1.80,,ug/L,42.96,,,Marceline_South,Marceline (South) 1,
CHL_A_COR,CHL10-24 ,,,10-24,088,EPI,2024-05-15,12:43:00 PM,0,1.80,,ug/L,39.57,,,Marceline_South,Marceline (South) 1,
CHL_A_COR,CHL15-24 ,,,15-24,438,EPI,2024-05-17,10:15:00 AM,0,0.80,,ug/L,2.60,,,Bethel,Bethel 1,
CHL_A_COR,CHL16-24 ,,,16-24,438,EPI,2024-05-17,10:15:00 AM,0,0.80,,ug/L,2.48,,,Bethel,Bethel 1,
CHL_A_COR,CHL33-24 ,,,33-24,228,EPI,2024-05-20,12:15:00 PM,0,0.75,,ug/L,30.56,,,Jamesport_Community,Jamesport Community 1,
CHL_A_COR,CHL34-24 ,,,34-24,228,EPI,2024-05-20,12:15:00 PM,0,0.75,,ug/L,28.21,,,Jamesport_Community,Jamesport Community 1,
CHL_A_COR,CHL37-24 ,,,37-24,163,EPI,2024-05-20,1:58:00 PM,0,0.00,,ug/L,4.95,,,King,King 1,
CHL_A_COR,CHL38-24 ,,,38-24,163,EPI,2024-05-20,1:58:00 PM,0,0.00,,ug/L,4.93,,,King,King 1,
CHL_A_COR,CHL41-24 ,,,41-24,195,EPI,2024-05-20,2:56:00 PM,0,0.00,,ug/L,6.25,,,Limpp,Limpp 1,
CHL_A_COR,CHL42-24 ,,,42-24,195,EPI,2024-05-20,2:56:00 PM,0,0.00,,ug/L,5.32,,,Limpp,Limpp 1,
CHL_A_COR,CHL47-24 ,,,47-24,224,EPI,2024-05-20,3:57:00 PM,0,0.50,,ug/L,16.54,,,Happy_Holler,Happy Holler 1,
CHL_A_COR,CHL48-24 ,,,48-24,224,EPI,2024-05-20,3:57:00 PM,0,0.50,,ug/L,16.59,,,Happy_Holler,Happy Holler 1,
CHL_A_COR,CHL53-24 ,,,53-24,180,EPI,2024-05-20,5:50:00 PM,0,2.00,,ug/L,11.49,,,Bilby_Ranch,Bilby Ranch 1,
CHL_A_COR,CHL54-24 ,,,54-24,180,EPI,2024-05-20,5:50:00 PM,0,2.00,,ug/L,10.81,,,Bilby_Ranch,Bilby Ranch 1,
CHL_A_COR,CHL59-24 ,,,59-24,179,EPI,2024-05-21,6:55:00 AM,0,0.62,,ug/L,21.36,,,Nodaway_County,Nodaway County 1,
CHL_A_COR,CHL60-24 ,,,60-24,179,EPI,2024-05-21,6:55:00 AM,0,0.62,,ug/L,21.37,,,Nodaway_County,Nodaway County 1,
CHL_A_COR,CHL71-24 ,,,71-24,181,EPI,2024-05-21,8:36:00 AM,0,1.94,,ug/L,1.96,,,Mozingo,Mozingo 1,
CHL_A_COR,CHL72-24 ,,,72-24,181,EPI,2024-05-21,8:36:00 AM,0,1.94,,ug/L,2.04,,,Mozingo,Mozingo 1,
CHL_A_COR,CHL81-24 ,,,81-24,185,EPI,2024-05-21,10:45:00 AM,0,0.52,,ug/L,7.72,,,Harrison_County,Harrison County 1,
