parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,,Project
SAX_tox,RA1 ,,,1,088,,2024-05-15,12:43:00 PM,0,0.50,,ug/L,0.0066,,,Marceline_South,Marceline (South) 1,Below detection limit,,SLAP
SAX_tox,RA1 ,,,1,088,,2024-05-15,12:43:00 PM,0,0.50,,ug/L,0.0099,,,Marceline_South,Marceline (South) 1,Below detection limit,,SLAP
SAX_tox,RA2 ,,,2,438,,2024-05-17,10:15:00 AM,0,0.50,,ug/L,0.0044,,,Bethel,Bethel 1,Below detection limit,,SLAP
SAX_tox,RA2 ,,,2,438,,2024-05-17,10:15:00 AM,0,0.50,,ug/L,0.0044,,,Bethel,Bethel 1,Below detection limit,,SLAP
SAX_tox,RA3 ,,,3,139,,2024-05-15,12:20:00 PM,0,0.50,,ug/L,0.0110,,,Marceline_North,Marceline (North) 1,Below detection limit,,SLAP
SAX_tox,RA3 ,,,3,139,,2024-05-15,12:20:00 PM,0,0.50,,ug/L,0.0033,,,Marceline_North,Marceline (North) 1,Below detection limit,,SLAP
SAX_tox,RA4 ,,,4,228,,2024-05-20,12:15:00 PM,0,0.50,,ug/L,0.0000,,,Jamesport_Community,Jamesport Community 1,Below detection limit,,SLAP
SAX_tox,RA4 ,,,4,228,,2024-05-20,12:15:00 PM,0,0.50,,ug/L,0.0055,,,Jamesport_Community,Jamesport Community 1,Below detection limit,,SLAP
SAX_tox,RA5 ,,,5,163,,2024-05-20,1:58:00 PM,0,0.50,,ug/L,0.0022,,,King,King 1,Below detection limit,,SLAP
SAX_tox,RA5 ,,,5,163,,2024-05-20,1:58:00 PM,0,0.50,,ug/L,0.0044,,,King,King 1,Below detection limit,,SLAP
SAX_tox,RA6 ,,,6,195,,2024-05-20,2:56:00 PM,0,0.50,,ug/L,0.0033,,,Limpp,Limpp 1,Below detection limit,,SLAP
SAX_tox,RA6 ,,,6,195,,2024-05-20,2:56:00 PM,0,0.50,,ug/L,0.0143,,,Limpp,Limpp 1,Below detection limit,,SLAP
SAX_tox,RA7 ,,,7,224,,2024-05-20,3:57:00 PM,0,0.50,,ug/L,0.0132,,,Happy_Holler,Happy Holler 1,Below detection limit,,SLAP
SAX_tox,RA7 ,,,7,224,,2024-05-20,3:57:00 PM,0,0.50,,ug/L,0.0000,,,Happy_Holler,Happy Holler 1,Below detection limit,,SLAP
