"","MULakeNumber","waterBody","samplingSite","Date","Time","beginDepth","endDepth_m","parameterType","unit","parameterValue","parameterValueQCCodeDesc","parValueUSA","unitUSA"
"1","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"SECCHI","m",1.74,NA,5.7086614173,"ft"
"2","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TN","ug/L",760,NA,0.76,"mg/L"
"3","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TN","ug/L",460,NA,0.46,"mg/L"
"4","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TN","ug/L",680,NA,0.68,"mg/L"
"5","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TN","ug/L",550,NA,0.55,"mg/L"
"6","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TN","ug/L",730,NA,0.73,"mg/L"
"7","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TN","ug/L",660,NA,0.66,"mg/L"
"8","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TP","ug/L",22,NA,0.022,"mg/L"
"9","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"TP","ug/L",21,NA,0.021,"mg/L"
"10","003","Bowling Green (East)","Bowling Green (East) 1","2020-06-29",NA,"0",0,"CHL_A_COR","ug/L",5.1,NA,0.0051,"mg/L"
"11","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"SECCHI","m",1.61,NA,5.28215223095,"ft"
"12","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TN","ug/L",1020,NA,1.02,"mg/L"
"13","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TN","ug/L",990,NA,0.99,"mg/L"
"14","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TN","ug/L",910,NA,0.91,"mg/L"
"15","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TN","ug/L",1060,NA,1.06,"mg/L"
"16","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TN","ug/L",1010,NA,1.01,"mg/L"
"17","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TN","ug/L",970,NA,0.97,"mg/L"
"18","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"TP","ug/L",25,NA,0.025,"mg/L"
"19","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"CHL_A_COR","ug/L",19,NA,0.019,"mg/L"
"20","003","Bowling Green (East)","Bowling Green (East) 1","2020-07-20",NA,"0",0,"CHL_A_COR","ug/L",19.3,NA,0.0193,"mg/L"
"21","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"SECCHI","m",1.02,NA,3.3464566929,"ft"
"22","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"TN","ug/L",750,NA,0.75,"mg/L"
"23","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"TN","ug/L",730,NA,0.73,"mg/L"
"24","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"TN","ug/L",780,NA,0.78,"mg/L"
"25","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"TP","ug/L",24,NA,0.024,"mg/L"
"26","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"TP","ug/L",25,NA,0.025,"mg/L"
"27","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"CHL_A_COR","ug/L",32.9,NA,0.0329,"mg/L"
"28","003","Bowling Green (East)","Bowling Green (East) 1","2020-08-10",NA,"0",0,"CHL_A_COR","ug/L",34.6,NA,0.0346,"mg/L"
"29","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"SECCHI","m",1.9,NA,6.2335958005,"ft"
"30","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"TN","ug/L",510,NA,0.51,"mg/L"
"31","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"TN","ug/L",530,NA,0.53,"mg/L"
"32","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"TN","ug/L",480,NA,0.48,"mg/L"
"33","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"TP","ug/L",25,NA,0.025,"mg/L"
"34","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"TP","ug/L",26,NA,0.026,"mg/L"
"35","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"CHL_A_COR","ug/L",8.9,NA,0.0089,"mg/L"
"36","003","Bowling Green (East)","Bowling Green (East) 1","2020-09-15",NA,"0",0,"CHL_A_COR","ug/L",8.5,NA,0.0085,"mg/L"
"37","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"SECCHI","m",2,NA,6.56167979,"ft"
"38","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"TN","ug/L",370,NA,0.37,"mg/L"
"39","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"TN","ug/L",360,NA,0.36,"mg/L"
"40","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"TN","ug/L",340,NA,0.34,"mg/L"
"41","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"TP","ug/L",13,NA,0.013,"mg/L"
"42","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"TP","ug/L",12,NA,0.012,"mg/L"
"43","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"CHL_A_COR","ug/L",6.3,NA,0.0063,"mg/L"
"44","005","Lincoln","Lincoln 1","2020-07-20",NA,"0",0,"CHL_A_COR","ug/L",6.5,NA,0.0065,"mg/L"
"45","005","Lincoln","Lincoln 1","2020-08-10",NA,"0",0,"SECCHI","m",1.56,NA,5.1181102362,"ft"
"46","005","Lincoln","Lincoln 1","2020-08-10",NA,"0",0,"TN","ug/L",410,NA,0.41,"mg/L"
"47","005","Lincoln","Lincoln 1","2020-08-10",NA,"0",0,"TN","ug/L",380,NA,0.38,"mg/L"
"48","005","Lincoln","Lincoln 1","2020-08-10",NA,"0",0,"TP","ug/L",10,NA,0.01,"mg/L"
"49","005","Lincoln","Lincoln 1","2020-08-10",NA,"0",0,"TP","ug/L",11,NA,0.011,"mg/L"
"50","005","Lincoln","Lincoln 1","2020-08-10",NA,"0",0,"CHL_A_COR","ug/L",6.7,NA,0.0067,"mg/L"
