MULakeNumber,waterBody,samplingSite,Date,Time,beginDepth,endDepth_m,parameterType,unit,parameterValue,parameterValueQCCodeDesc
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0.5,ANA_tox,ug/L,0.1,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0.5,ANA_tox,ug/L,0.11,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,CHL_A_COR,ug/L,24.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,CHL_A_COR,ug/L,26.7,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0,CHL_A_COR,ug/L,21.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0,CHL_A_COR,ug/L,24,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,CHL_A_lab,ug/L,26.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,CHL_A_lab,ug/L,27.3,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0,CHL_A_lab,ug/L,23.2,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0,CHL_A_lab,ug/L,24.9,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0.5,CYL_tox,ug/L,0.01,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,DOC,mg/L,5.900000095,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,DOC,mg/L,5.800000191,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,DOC,mg/L,5.699999809,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0.5,MIC_tox,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,NH4,ug/L,13,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,NH4,ug/L,17,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,NO3,ug/L,0,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,PHEO,ug/L,3.3,RPD or range or CV of replicates exceeds established control
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,PHEO,ug/L,1.4,RPD or range or CV of replicates exceeds established control
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0,PHEO,ug/L,4.7,RPD or range or CV of replicates exceeds established control
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0,PHEO,ug/L,2.1,RPD or range or CV of replicates exceeds established control
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,PIM,mg/L,3.8,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,PIM,mg/L,3.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,POM,mg/L,4.6,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,POM,mg/L,4.4,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,0.5,SAX_tox,ug/L,0.003,Below detection limit
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,TDN,ug/L,490,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,TDN,ug/L,470,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,TDN,ug/L,460,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,TN,ug/L,750,NA
003,Bowling Green (East),Bowling Green (East) 1,2022-05-31,10:54:00,0,1.56,TN,ug/L,740,NA
