"parameterType","parameterType & Tube#","...3","...4","Tube/Filter#","MULakeNumber","Depth","Date","Time","beginDepth","endDepth","Replicate","unit","parameterValue","Rerun?","still too high?","waterBody","samplingSite","parameterValueQCCodeDesc"
"CHL_A_COR","CHL37-24",NA,NA,"37-24","163","EPI","2024-05-20","1:58:00 PM","0",0,NA,"ug/L","4.95",NA,NA,"King","King 1",NA
"CHL_A_COR","CHL38-24",NA,NA,"38-24","163","EPI","2024-05-20","1:58:00 PM","0",0,NA,"ug/L","4.93",NA,NA,"King","King 1",NA
"CHL_A_COR","CHL41-24",NA,NA,"41-24","195","EPI","2024-05-20","2:56:00 PM","0",0,NA,"ug/L","6.25",NA,NA,"Limpp","Limpp 1",NA
"CHL_A_COR","CHL42-24",NA,NA,"42-24","195","EPI","2024-05-20","2:56:00 PM","0",0,NA,"ug/L","5.32",NA,NA,"Limpp","Limpp 1",NA
"CHL_A_COR","CHL75-24",NA,NA,"75-24","164","EPI","2024-05-21","1:17:00 PM","0",0,NA,"ug/L","17.11",NA,NA,"Elmwood","Elmwood 1",NA
"CHL_A_COR","CHL76-24",NA,NA,"76-24","164","EPI","2024-05-21","1:17:00 PM","0",0,NA,"ug/L","16.91",NA,NA,"Elmwood","Elmwood 1",NA
"CHL_A_COR","CHL105-24",NA,NA,"105-24","048","EPI","2024-05-22","4:55:00 PM","0",0,NA,"ug/L","18.22",NA,NA,"Long_Branch","Long Branch 1",NA
"CHL_A_COR","CHL106-24",NA,NA,"106-24","048","EPI","2024-05-22","4:55:00 PM","0",0,NA,"ug/L","17.26",NA,NA,"Long_Branch","Long Branch 1",NA
"CHL_A_COR","CHL146-24",NA,NA,"146-24","091","EPI","2024-05-28","6:07:00 PM","0",0,NA,"ug/L","66.24",NA,NA,"Atkinson","Atkinson 1",NA
"CHL_A_COR","CHL147-24",NA,NA,"147-24","091","EPI","2024-05-28","6:07:00 PM","0",0,NA,"ug/L","63.75",NA,NA,"Atkinson","Atkinson 1",NA
"CHL_A_COR","CHL179-24",NA,NA,"179-24","169","EPI","2024-05-29","10:34:00 AM","0",0,NA,"ug/L","25.65",NA,NA,"Gopher","Gopher 1",NA
"CHL_A_COR","CHL180-24",NA,NA,"180-24","169","EPI","2024-05-29","10:34:00 AM","0",0,NA,"ug/L","26.42",NA,NA,"Gopher","Gopher 1",NA
"CHL_A_COR","CHL162-24",NA,NA,"162-24","183","EPI","2024-05-29","11:57:00 AM","0",0,NA,"ug/L","34.28",NA,NA,"Hazel_Hill","Hazel Hill 1",NA
"CHL_A_COR","CHL163-24",NA,NA,"163-24","183","EPI","2024-05-29","11:57:00 AM","0",0,NA,"ug/L","35.25",NA,NA,"Hazel_Hill","Hazel Hill 1",NA
"CHL_A_COR","CHL242-24",NA,NA,"242-24","272","EPI","2024-06-05","1:39:00 PM","0",0,NA,"ug/L","62.59",NA,NA,"Perry","Perry 1",NA
