parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc
SECCHI,,,,,003,,2024-06-05,3:18:00 PM,,,,m,1.09,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-06-05,3:18:00 PM,,,,m,0.96,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-06-24,2:41:00 PM,,,,m,1.48,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-06-24,2:41:00 PM,,,,m,1.26,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-07-22,2:08:00 PM,,,,m,1.52,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-07-22,2:08:00 PM,,,,m,1.40,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-08-12,12:15:00 PM,,,,m,1.55,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,003,,2024-08-12,12:15:00 PM,,,,m,1.46,,,Bowling_Green_East,Bowling Green (East) 1,
SECCHI,,,,,005,,2024-06-05,4:52:00 PM,,,,m,1.26,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-06-05,4:52:00 PM,,,,m,1.22,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-06-24,4:18:00 PM,,,,m,1.65,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-06-24,4:18:00 PM,,,,m,1.58,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-07-22,3:40:00 PM,,,,m,1.69,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-07-22,3:40:00 PM,,,,m,1.61,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-08-12,1:48:00 PM,,,,m,1.84,,,Lincoln,Lincoln 1,
SECCHI,,,,,005,,2024-08-12,1:48:00 PM,,,,m,1.77,,,Lincoln,Lincoln 1,
SECCHI,,,,,011,,2024-06-21,10:45:00 AM,,,,m,1.70,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-06-21,10:45:00 AM,,,,m,1.51,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-07-11,10:13:00 AM,,,,m,1.40,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-07-11,10:13:00 AM,,,,m,1.30,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-07-25,11:04:00 AM,,,,m,1.50,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-07-25,11:04:00 AM,,,,m,1.28,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-08-08,11:36:00 AM,,,,m,1.50,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,011,,2024-08-08,11:36:00 AM,,,,m,1.36,,,Peaceful_Valley,Peaceful Valley 1,
SECCHI,,,,,014,,2024-06-06,8:51:00 AM,,,,m,2.67,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-06-06,8:51:00 AM,,,,m,2.46,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-06-25,8:53:00 AM,,,,m,4.24,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-06-25,8:53:00 AM,,,,m,3.94,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-07-23,8:44:00 AM,,,,m,1.16,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-07-23,8:44:00 AM,,,,m,1.09,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-08-13,8:51:00 AM,,,,m,0.92,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,014,,2024-08-13,8:51:00 AM,,,,m,0.81,,,Tishomingo,Tishomingo 1,
SECCHI,,,,,018,,2024-06-06,1:33:00 PM,,,,m,3.36,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-06-06,1:33:00 PM,,,,m,3.21,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-06-25,1:52:00 PM,,,,m,4.42,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-06-25,1:52:00 PM,,,,m,4.30,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-07-23,12:46:00 PM,,,,m,4.72,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-07-23,12:46:00 PM,,,,m,4.65,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-08-13,12:24:00 PM,,,,m,5.51,,,Capri,Capri 1,
SECCHI,,,,,018,,2024-08-13,12:24:00 PM,,,,m,5.32,,,Capri,Capri 1,
SECCHI,,,,,021,,2024-06-06,10:57:00 AM,,,,m,3.15,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,021,,2024-06-06,10:57:00 AM,,,,m,3.08,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,021,,2024-06-25,11:03:00 AM,,,,m,3.30,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,021,,2024-06-25,11:03:00 AM,,,,m,3.02,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,021,,2024-07-23,10:47:00 AM,,,,m,2.24,,,Goose_Creek,Goose Creek 1,
SECCHI,,,,,021,,2024-07-23,10:47:00 AM,,,,m,2.17,,,Goose_Creek,Goose Creek 1,
