parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,
TN,TN217 ,,,217,003,EPI,2024-06-05,3:18:00 PM,0,0.506,,ug/L,790,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN218 ,,,218,003,EPI,2024-06-05,3:18:00 PM,0,0.506,,ug/L,790,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN219 ,,,219,003,EPI,2024-06-05,3:18:00 PM,0,0.506,,ug/L,820,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN214 ,,,214,003,SURF,2024-06-05,3:18:00 PM,0,0,,ug/L,770,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN215 ,,,215,003,SURF,2024-06-05,3:18:00 PM,0,0,,ug/L,810,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN216 ,,,216,003,SURF,2024-06-05,3:18:00 PM,0,0,,ug/L,820,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN559 ,,,559,003,EPI,2024-06-24,2:41:00 PM,0,1.255,,ug/L,630,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN560 ,,,560,003,EPI,2024-06-24,2:41:00 PM,0,1.255,,ug/L,640,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN561 ,,,561,003,EPI,2024-06-24,2:41:00 PM,0,1.255,,ug/L,690,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN556 ,,,556,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,600,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN557 ,,,557,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,650,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN558 ,,,558,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,650,,,Bowling_Green_East,Bowling Green (East) 1,,
TN,TN985 ,,,985,003,EPI,2024-07-22,2:08:00 PM,0,2.017,,ug/L,600,,,Bowling_Green_East,Bowling Green (East) 1,,
