parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,,Geomean
TP,TP217 ,,,217,003,EPI,2024-06-05,3:18:00 PM,0,0.506,,ug/L,40,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP218 ,,,218,003,EPI,2024-06-05,3:18:00 PM,0,0.506,,ug/L,42,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP219 ,,,219,003,EPI,2024-06-05,3:18:00 PM,0,0.506,,ug/L,43,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP214 ,,,214,003,SURF,2024-06-05,3:18:00 PM,0,0,,ug/L,39,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP215 ,,,215,003,SURF,2024-06-05,3:18:00 PM,0,0,,ug/L,37,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP216 ,,,216,003,SURF,2024-06-05,3:18:00 PM,0,0,,ug/L,35,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP559 ,,,559,003,EPI,2024-06-24,2:41:00 PM,0,1.255,,ug/L,26,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP560 ,,,560,003,EPI,2024-06-24,2:41:00 PM,0,1.255,,ug/L,23,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP561 ,,,561,003,EPI,2024-06-24,2:41:00 PM,0,1.255,,ug/L,26,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP556 ,,,556,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,26,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP558 ,,,558,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,23,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1695 ,,,1695,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,24,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1696 ,,,1696,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,25,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1697 ,,,1697,003,SURF,2024-06-24,2:41:00 PM,0,0,,ug/L,25,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP988 ,,,988,003,EPI,2024-07-22,2:08:00 PM,0,2.017,,ug/L,22,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP989 ,,,989,003,EPI,2024-07-22,2:08:00 PM,0,2.017,,ug/L,22,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP990 ,,,990,003,EPI,2024-07-22,2:08:00 PM,0,2.017,,ug/L,22,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP985 ,,,985,003,SURF,2024-07-22,2:08:00 PM,0,0,,ug/L,19,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP986 ,,,986,003,SURF,2024-07-22,2:08:00 PM,0,0,,ug/L,21,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP987 ,,,987,003,SURF,2024-07-22,2:08:00 PM,0,0,,ug/L,21,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1368 ,,,1368,003,EPI,2024-08-12,12:15:00 PM,0,2.244,,ug/L,22,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1369 ,,,1369,003,EPI,2024-08-12,12:15:00 PM,0,2.244,,ug/L,22,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1370 ,,,1370,003,EPI,2024-08-12,12:15:00 PM,0,2.244,,ug/L,23,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1365 ,,,1365,003,SURF,2024-08-12,12:15:00 PM,0,0,,ug/L,22,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1366 ,,,1366,003,SURF,2024-08-12,12:15:00 PM,0,0,,ug/L,23,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP1367 ,,,1367,003,SURF,2024-08-12,12:15:00 PM,0,0,,ug/L,21,,,Bowling_Green_East,Bowling Green (East) 1,,,
TP,TP211 ,,,211,005,EPI,2024-06-05,4:52:00 PM,0,0.75,,ug/L,20,,,Lincoln,Lincoln 1,,,
